62357,"H",0.15,0.18,0.59,32.0,1.0
321119,"N",0.19,-1.19,3.74,55.0,1.0
221575,"C",-0.23,-0.11,1.12,85.0,1.0
333329,"H",0.28,0.04,0.52,39.0,1.0
213516,"C",-0.3,-0.28,1.79,183.0,1.0
85158,"H",-0.23,-0.15,0.54,72.0,1.0
412804,"H",-0.22,-0.15,0.27,19.0,1.0
270911,"H",0.01,-0.03,0.57,52.0,1.0
164400,"H",-0.04,-0.09,0.67,160.0,1.0
8966,"N",-0.24,0.34,4.79,76.0,1.0
72886,"H",0.23,0.17,0.76,84.0,1.0
211993,"N",1.38,1.24,3.25,32.0,1.0
179259,"C",0.31,0.19,1.1,112.0,1.0
451013,"C",-0.12,-0.05,1.11,99.0,1.0
168522,"C",-0.24,-0.08,1.38,103.0,1.0
74785,"C",-2.26,-2.11,1.0,74.0,0.0
392237,"N",0.15,-0.6,7.46,77.0,1.0
449549,"C",0.17,0.27,1.0,100.0,1.0
263591,"N",-0.84,-0.25,3.66,38.0,1.0
163625,"N",-1.31,0.98,4.53,75.0,1.0
173917,"H",-0.11,-0.18,0.53,84.0,1.0
445494,"C",0.12,-0.28,1.26,99.0,1.0
440365,"H",0.03,0.05,0.8,62.0,1.0
330853,"C",-1.73,-1.14,1.45,32.0,0.0
310056,"N",0.43,-0.01,2.4,103.0,1.0
257763,"N",0.7,0.47,2.25,127.0,1.0
143016,"C",0.17,0.28,1.47,96.0,1.0
55618,"H",-0.12,-0.13,0.63,94.0,1.0
286615,"H",0.17,0.04,0.55,104.0,1.0
26921,"N",-0.73,0.18,2.6,82.0,1.0
142650,"H",-0.01,-0.06,0.6,87.0,1.0
126009,"H",-0.23,-0.13,0.77,55.0,1.0
262300,"N",-1.65,-0.31,3.82,131.0,1.0
83287,"N",7.54,5.27,4.69,126.0,1.0
306067,"N",-1.79,-0.38,3.51,177.0,1.0
278090,"H",0.01,0.09,0.72,88.0,1.0
204934,"H",0.08,0.0,0.54,85.0,1.0
228913,"H",-0.75,-0.43,0.91,80.0,1.0
436015,"C",0.31,0.3,1.15,65.0,1.0
267862,"N",-0.87,0.13,4.38,46.0,1.0
354473,"H",-0.15,-0.18,0.73,57.0,1.0
424451,"N",-0.89,-0.27,3.0,28.0,1.0
476949,"H",-0.07,-0.17,0.73,99.0,1.0
394556,"N",0.56,1.57,5.82,82.0,1.0
63041,"H",-0.08,-0.14,0.65,88.0,1.0
460898,"C",0.56,-0.54,3.49,43.0,1.0
381831,"N",0.32,0.42,3.95,101.0,1.0
186369,"C",-0.1,-0.07,1.27,65.0,1.0
414931,"H",-0.01,-0.03,0.17,28.0,1.0
150863,"C",0.3,0.25,1.36,33.0,1.0
164287,"H",0.11,-0.08,0.61,92.0,1.0
156971,"C",0.38,0.29,1.13,100.0,1.0
94620,"C",0.19,-0.14,1.55,103.0,1.0
71013,"N",1.23,-0.31,3.87,80.0,1.0
415574,"C",0.0,0.12,1.31,80.0,1.0
155737,"C",0.65,0.07,1.0,67.0,1.0
279790,"C",-0.21,-0.17,1.59,140.0,1.0
221830,"N",-0.41,-0.33,4.61,115.0,1.0
458213,"N",0.97,0.77,2.46,104.0,1.0
439279,"C",0.36,0.29,1.21,145.0,1.0
277356,"C",-0.23,-0.22,1.35,103.0,1.0
469557,"C",0.55,0.49,1.52,49.0,1.0
340936,"H",-0.19,-0.1,0.53,87.0,1.0
418131,"N",0.03,0.08,3.85,125.0,1.0
264247,"N",-0.25,-0.26,4.02,49.0,1.0
307513,"N",-1.37,-0.91,4.02,30.0,1.0
35406,"H",-0.04,0.02,0.55,53.0,1.0
181262,"C",-2.41,-2.6,1.42,68.0,0.0
117324,"H",-0.19,-0.06,0.6,46.0,1.0
52985,"H",0.14,0.15,0.38,37.0,1.0
447656,"N",2.65,1.11,4.83,94.0,1.0
415891,"H",0.1,-0.06,0.53,55.0,1.0
348640,"N",3.9,1.4,4.84,85.0,1.0
459072,"N",-1.71,0.21,3.91,90.0,1.0
468139,"H",0.16,0.01,0.6,174.0,1.0
191295,"N",-0.51,-0.26,3.26,71.0,1.0
466232,"N",1.75,0.82,2.64,52.0,1.0
328532,"H",-0.16,-0.03,0.42,93.0,1.0
469207,"N",0.94,0.16,2.61,48.0,1.0
358736,"N",-1.01,-0.11,4.13,56.0,1.0
430927,"N",2.17,1.02,3.64,152.0,1.0
398200,"H",0.02,0.05,0.42,99.0,1.0
166495,"N",1.17,0.22,3.55,106.0,1.0
206234,"C",-0.49,-0.51,1.21,139.0,1.0
43656,"H",0.04,-0.16,1.23,79.0,1.0
443982,"H",-0.01,-0.04,0.52,60.0,1.0
471553,"N",-1.13,0.26,4.14,48.0,1.0
187045,"C",0.07,-0.12,1.5,93.0,1.0
434346,"C",0.11,-0.06,1.39,176.0,1.0
49048,"H",-0.17,-0.07,0.49,103.0,1.0
187045,"H",0.01,-0.1,0.53,88.0,1.0
38494,"N",-0.25,0.04,3.88,45.0,1.0
344064,"N",-0.26,-0.38,3.35,81.0,1.0
316733,"H",-0.0,0.04,0.62,39.0,1.0
423405,"N",-0.7,-0.23,3.49,94.0,1.0
120758,"H",0.15,-0.01,0.66,86.0,1.0
410979,"H",0.08,-0.05,0.47,126.0,1.0
279790,"N",0.82,1.19,4.73,141.0,1.0
150863,"H",-0.14,-0.24,0.53,30.0,1.0
116288,"H",-0.1,-0.16,0.6,101.0,1.0
421076,"N",-0.06,-0.31,4.08,65.0,1.0
238331,"H",0.09,0.07,0.33,39.0,1.0
445711,"N",-0.72,0.22,4.21,76.0,1.0
438840,"H",0.04,-0.0,0.48,112.0,1.0
100293,"H",-0.12,-0.07,0.55,137.0,1.0
185949,"H",0.02,0.02,0.44,50.0,1.0
53023,"N",0.13,0.64,2.04,37.0,1.0
387,"H",-0.39,-0.29,0.72,52.0,1.0
144546,"C",0.39,0.29,1.28,80.0,1.0
471204,"H",-0.11,-0.17,0.53,62.0,1.0
391668,"N",3.28,1.68,3.45,77.0,1.0
322599,"N",-1.28,-0.51,1.72,36.0,1.0
79718,"H",-0.1,-0.09,0.61,117.0,1.0
385115,"H",-0.01,-0.04,0.45,50.0,1.0
364968,"C",-0.21,0.06,1.46,87.0,1.0
109022,"H",-0.08,-0.12,0.69,101.0,1.0
311772,"H",-0.06,-0.05,0.61,163.0,1.0
453619,"N",-0.25,0.19,3.88,82.0,1.0
409262,"N",1.1,-1.51,7.84,43.0,1.0
233743,"H",-0.35,-0.07,0.74,55.0,1.0
152300,"H",-0.33,-0.28,0.48,27.0,1.0
345848,"H",-0.05,-0.01,0.26,29.0,1.0
401713,"H",-0.03,-0.83,1.59,67.0,1.0
217470,"H",0.0,-0.08,0.63,125.0,1.0
349904,"C",-0.26,-0.35,1.27,43.0,1.0
302086,"C",-0.34,-0.34,1.46,60.0,1.0
399681,"H",0.13,0.13,0.63,23.0,1.0
289913,"N",0.16,0.14,2.56,110.0,1.0
191451,"H",-0.01,-0.16,0.85,127.0,1.0
124473,"H",0.11,0.15,0.72,88.0,1.0
289386,"H",0.02,-0.06,0.54,85.0,1.0
313704,"N",-0.13,0.06,4.41,88.0,1.0
142885,"H",0.0,-0.09,0.71,123.0,1.0
427107,"C",0.15,0.0,1.12,169.0,1.0
770,"H",0.0,-0.07,0.51,47.0,1.0
155209,"C",0.26,0.32,1.12,100.0,1.0
390451,"H",-0.18,-0.17,0.63,183.0,1.0
155209,"H",-0.03,-0.02,0.66,102.0,1.0
436474,"H",-0.2,-0.21,0.27,24.0,1.0
95016,"H",0.16,-0.01,0.61,78.0,1.0
111413,"H",0.09,-0.06,0.61,44.0,1.0
321743,"H",0.12,0.03,0.35,26.0,1.0
200128,"H",-0.08,-0.1,0.58,99.0,1.0
388731,"H",-0.08,-0.31,0.89,35.0,1.0
9049,"H",-0.05,0.01,0.56,76.0,1.0
257959,"C",0.35,0.1,1.06,87.0,1.0
441143,"N",-0.61,-0.3,4.74,175.0,1.0
280901,"H",-0.18,-0.02,0.62,81.0,1.0
229619,"H",0.01,-0.03,0.56,109.0,1.0
385775,"C",0.15,0.06,1.09,68.0,1.0
390669,"N",-1.01,-0.4,3.65,82.0,1.0
124988,"H",0.1,0.05,0.15,83.0,1.0
180819,"N",1.07,0.35,3.42,98.0,1.0
300848,"N",0.81,0.69,3.63,113.0,1.0
81230,"H",0.06,-0.12,0.57,104.0,1.0
470557,"N",0.94,0.16,2.61,48.0,1.0
283048,"N",-0.46,-0.18,2.06,102.0,1.0
223111,"H",-0.15,-0.22,0.46,61.0,1.0
51747,"C",-0.24,-0.17,1.48,145.0,1.0
165928,"C",1.51,1.44,1.19,52.0,0.0
350748,"C",-0.18,-0.14,1.29,55.0,1.0
412804,"N",-0.38,0.21,2.55,19.0,1.0
79718,"C",-0.42,-0.26,1.31,117.0,1.0
304660,"N",-5.1,-3.78,4.25,69.0,1.0
329497,"C",-0.59,-1.54,1.02,30.0,1.0
108052,"H",-0.08,-0.02,0.44,83.0,1.0
342651,"C",0.06,0.02,1.5,118.0,1.0
421255,"H",0.01,-0.13,0.79,115.0,1.0
424487,"H",-0.21,-0.18,0.63,25.0,1.0
116803,"C",0.18,0.02,1.43,122.0,1.0
346165,"N",-0.26,-0.61,4.05,121.0,1.0
348734,"N",-0.11,0.12,4.33,114.0,1.0
246964,"C",-0.01,0.14,1.22,64.0,1.0
330009,"N",3.28,1.5,4.41,17.0,1.0
105029,"N",-0.18,1.21,5.13,130.0,1.0
193783,"N",0.5,0.86,4.19,57.0,1.0
209711,"H",-0.01,-0.02,0.45,170.0,1.0
196443,"H",-0.07,-0.15,0.53,78.0,1.0
381831,"C",0.16,0.16,1.14,95.0,1.0
220186,"N",1.41,0.96,3.98,67.0,1.0
202370,"H",-0.06,-0.13,0.2,15.0,1.0
103666,"C",0.28,-0.01,1.51,148.0,1.0
441983,"H",0.21,0.03,0.56,35.0,1.0
92065,"N",0.57,0.09,3.9,117.0,1.0
474509,"N",-0.07,-0.07,3.1,120.0,1.0
308323,"H",-0.14,-0.06,0.54,77.0,1.0
375885,"H",-0.08,-0.09,0.2,19.0,1.0
159291,"C",0.34,0.13,1.46,63.0,1.0
75441,"N",-0.02,-0.57,3.11,80.0,1.0
325317,"H",0.27,0.2,0.72,29.0,1.0
125894,"H",0.13,0.02,0.51,19.0,1.0
130102,"C",0.08,0.13,1.14,115.0,1.0
434705,"C",-0.23,-0.03,1.17,122.0,1.0
9739,"H",-0.21,-0.2,0.62,58.0,1.0
59127,"H",-0.07,0.07,0.45,87.0,1.0
356483,"H",0.18,0.06,0.69,20.0,1.0
341556,"H",-0.47,-0.05,0.56,91.0,1.0
122786,"C",0.21,-0.08,1.49,89.0,1.0
312077,"C",2.55,2.58,1.74,92.0,0.0
